EicCode ,EicDisplayName ,EicLongName ,EicParent ,EicResponsibleParty ,EicStatus,MarketParticipantPostalCode ,MarketParticipantIsoCountryCode ,MarketParticipantVatCode,EicTypeFunctionList,type
10Y1001A1001A008,BE-FR-NL-MARKET,Market coupling area Belgium - France - Netherlands,,,Active,,,,Market Balance Area,Y
10Y1001A1001A016,GB-NI,Northern Ireland,,,Active,BT6 9RT,GB,,"Market Balance Area, Control Area",Y
10Y1001A1001A39I,EE,Estonia,,,Active,12915,EE,,"Bidding Zone, Control Area, Market Balance Area, Member State",Y
10Y1001A1001A42T,CB-ES,CB Spain,,10XES-REE------E,Active,,,,Control Block,Y
10Y1001A1001A43R,COMP-SMM-AREA,Comp. Control Block Area  Macedonia-Montenegro-Serbia,,,Active,,,,Valid EIC Function needed,Y
10Y1001A1001A44P,SE1,Swedish Elspot Area 1,,,Active,,,,"Market Balance Area, Bidding Zone",Y
10Y1001A1001A45N,SE2,Swedish Elspot Area 2,,,Active,,,,"Bidding Zone, Market Balance Area",Y
10Y1001A1001A46L,SE3,Swedish Elspot Area 3,,,Active,,,,"Market Balance Area, Bidding Zone",Y
10Y1001A1001A47J,SE4,Swedish Elspot Area 4,,,Active,,,,"Bidding Zone, Market Balance Area",Y
10Y1001A1001A48H,NO5,Norwegian Area Elspot Area 5,,,Active,,,,"Market Balance Area, Bidding Zone",Y
10Y1001A1001A49F,RUSSIAN_AREA,Russian area,,,Active,,,,Market Balance Area,Y
10Y1001A1001A50U,KALININGRAD_AREA,Kaliningrad area,,,Active,,,,Market Balance Area,Y
10Y1001A1001A51S,BELARUS_AREA,Belarus area,,,Active,,,,Market Balance Area,Y
10Y1001A1001A52Q,CZ-SK-HU-MARKET,Market coupling area Czech Republic – Slovakia –  Hungary,,,Active,,,,Market Area,Y
10Y1001A1001A53O,NWE-EU,NWE Region,,,Active,,,,Market Balance Area,Y
10Y1001A1001A54M,CB_PORTUGAL,Control Block Portugal,,10XPT-REN------9,Active,,,,Control Block,Y
10Y1001A1001A55K,LT_BEL_IMP_AREA,Lithuania-Belarus Import Area,,,Active,,,,Bidding Zone,Y
10Y1001A1001A56I,LT_BEL_EXP_AREA,Lithuania-Belarus Export Area,,,Active,,,,Bidding Zone,Y
10Y1001A1001A57G,GB_N2EX_PRICZONE,Bidding Zone - Great Britain (N2EX),,,Active,,,,Bidding Zone,Y
10Y1001A1001A58E,GB_APX_PRICEZONE,Bidding Zone - Great Britain (APX),,,Active,,,,Bidding Zone,Y
10Y1001A1001A59C,SEM,Ireland and Northern Ireland,,,Active,,,,"Market Balance Area, Bidding Zone",Y
10Y1001A1001A62N,CZ-SK-HU-RO-MCA,Market coupling area Czech Republic – Slovakia – Hungary- Romania,,,Active,,,,Market Area,Y
10Y1001A1001A63L,DE_AT_LU,Germany_Austria_Luxemburg,,,Active,,,,Bidding Zone,Y
10Y1001A1001A64J,FICTIT_AREA_1A,Norwegian Fictitious Area 1A,,,Active,,,,Market Balance Area,Y
10Y1001A1001A65H,DK,Denmark,,10X1001A1001A248,Active,7000,DK,,Member State,Y
10Y1001A1001A66F,IT-GR,Italy Greece,,,Active,,,,Bidding Zone,Y
10Y1001A1001A67D,IT-NORTH_SI,Italy North_Slovenia,,,Active,,,,Bidding Zone,Y
10Y1001A1001A68B,IT-NORTH_CH,Italy North_Switzerland,,,Active,,,,Bidding Zone,Y
10Y1001A1001A70O,IT-CENTRE_NORTH,Italy Centre-North,,,Active,,,,Bidding Zone,Y
10Y1001A1001A71M,IT-CENTRE_SOUTH,Italy Centre-South,,,Active,,,,Bidding Zone,Y
10Y1001A1001A73I,IT-NORTH,Italy North,,,Active,,,,Bidding Zone,Y
10Y1001A1001A74G,IT-SARDINIA,Italy Sardinia,,,Active,,,,Bidding Zone,Y
10Y1001A1001A75E,IT-SICILY,Italy Sicily,,,Active,,,,Bidding Zone,Y
10Y1001A1001A77A,IT-ROSSANO,Italy Rossano,,,Active,,,,Bidding Zone,Y
10Y1001A1001A788,IT-SOUTH,Italy South,,,Active,,,,Bidding Zone,Y
10Y1001A1001A796,CA-------DENMARK,Control Area Denmark,,10X1001A1001A248,Active,7000,DK,,Control Area,Y
10Y1001A1001A80L,IT-NORTH_AT,Italy North_Austria,,,Active,,,,Bidding Zone,Y
10Y1001A1001A81J,IT-NORTH_FR,Italy North_France,,,Active,,,,Bidding Zone,Y
10Y1001A1001A82H,DE_LU,Germany_Luxemburg,,,Active,,,,Market Balance Area,Y
10Y1001A1001A83F,DE,Germany,,,Active,,,,Member State,Y
10Y1001A1001A84D,IT-MACRZONENORTH,Market Balance Area MACROZONE NORTH,,,Active,,,,Market Balance Area,Y
10Y1001A1001A85B,IT-MACRZONESOUTH,Market Balance Area MACROZONE SOUTH,,,Active,,,,Market Balance Area,Y
10Y1001A1001A869,UA-DOB_TPP,Ukrainian Area of Dobrotvirska TPP,,10X1001C--00001X,Active,,,,Control Area,Y
10Y1001A1001A877,IT-MT,Italy_Malta,,,Active,,,,Bidding Zone,Y
10Y1001A1001A885,IT-SACO_AC,Italy Saco_AC,,,Active,,,,Bidding Zone,Y
10Y1001A1001A893,IT-SACODC,Italy Saco_DC,,,Active,,,,Bidding Zone,Y
10Y1001A1001A90I,IT-MONFALCONE,Italy Monfalcone,,,Active,,,,Bidding Zone,Y
10Y1001A1001A91G,NORDIC_AREA,Nordic Market Area,,,Active,,,,Market Area,Y
10Y1001A1001A92E,UK,United Kingdom,,10X1001A1001A515,Active,,,,Member State,Y
10Y1001A1001A93C,MALTA_AREA,CONTROL AREA ITALY MALTA,,,Active,,,,Control Area,Y
10Y1001A1001A94A,SYN_BALTICS,Synchronous area of Baltic states,,,Active,,,,Valid EIC Function needed,Y
10Y1001A1001A958,ICELAND,Member State Iceland,,,Active,,,,Member State,Y
10Y1001A1001A990,MOLDOVA,Moldova,,,Active,,,,Market Area,Y
10Y1001A1001B004,ARMENIA,Armenia,,,Active,1000,BE,,Market Area,Y
10Y1001A1001B012,GEORGIA,Georgia,,,Active,1000,BE,,Market Area,Y
10Y1001A1001B020,SYRIA,Syria,,,Active,1001,BE,,Market Area,Y
10Y1001A1001B03Z,IRAQ,Iraq,,,Active,1001,BE,,Market Area,Y
10Y1001A1001B04X,IRAN,Iran,,,Active,1002,BE,,Market Area,Y
10Y1001A1001B05V,AZERBAIJAN,Azerbaijan,,,Active,1002,BE,,Market Area,Y
10Y1001C--00002H,LFC-AREA-AMPRION,Load-frequency control area of Amprion GmbH,,10XDE-RWENET---W,Active,,,,LFC Area,Y
10Y1001C--00003F,UA,Ukraine,,10X1001C--00001X,Active,,,,"Market Area, Market Balance Area, Bidding Zone",Y
10Y1001C--00005B,DEAMP-LU-AREA,Border Area DE-Amprion-Luxembourg,,,Active,,,,Border Area,Y
10Y1001C--000069,DETNG-CH-AREA,Border Area DE-TransnetBW-Switzerland,,,Active,,,,Border Area,Y
10Y1001C--000077,DEAMP-FR-AREA,Border Area DE-Amprion-France,,,Active,,,,Border Area,Y
10Y1001C--000085,DEAMP-CH-AREA,Border Area DE-Amprion-Switzerland,,,Active,,,,Border Area,Y
10Y1001C--000093,DETNG-FR-AREA,Border Area DE-TransnetBW-France,,,Active,,,,Border Area,Y
10Y1001C--00010I,DETTG-DE50H-AREA,Border Area DE-TenneT-DE-50Hertz,,,Active,,,,Border Area,Y
10Y1001C--00011G,DETTG-DEAMP-AREA,Border Area DE-TenneT - DE-Amprion,,,Active,,,,Border Area,Y
10Y1001C--00012E,DETNG-DE50H-AREA,Border Area DE-TransnetBW - DE-50Hertz,,,Active,,,,Border Area,Y
10Y1001C--00013C,DETNG-DETTG-AREA,Border Area DE-TransnetBW - DE-TenneT,,,Active,,,,Border Area,Y
10Y1001C--00014A,DETNG-DEAMP-AREA,Border Area DE-TransnetBW - DE-Amprion,,,Active,,,,Border Area,Y
10Y1001C--000158,PL-UA-AREA,Border Area Poland-Ukraine,,,Active,,,,Border Area,Y
10Y1001C--000166,UA-SK-AREA,Border Area Ukraine-Slovakia,,,Active,,,,Border Area,Y
10Y1001C--000174,DE50H-DEAMP-AREA,Border Area DE-50Hertz-DE-Amprion,,,Active,,,,Border Area,Y
10Y1001C--000182,UA-IPS,Ukraine IPS,,,Active,,,,Control Area,Y
10Y1001C--000190,BE-GB-AREA,Border Area Belgium-Great Britain,,,Active,,,,Border Area,Y
10Y1001C--00020F,EE-ESTLINKBORDER,Border Area Estonia Estlink,,,Active,,EE,,Border Area,Y
10Y1001C--00021D,FI-ESTLINKBORDER,Border Area Finland Estlink,,,Active,,FI,,Border Area,Y
10Y1001C--00022B,CCR-IU,Capacity Calculation Region Ireland - United Kingdom,,10X1001A1001A361,Active,,,,Border Area,Y
10Y1001C--000239,CCR-CHANNEL,Capacity Calculation Region Channel,,10X1001A1001A361,Active,,,,Border Area,Y
10Y1001C--000247,BDL-AREA,Interconnector area BritNed,,,Active,,,,Scheduling Area,Y
10Y1001C--000255,IF1-AREA,Interconnector area IFA,,,Active,,,,Scheduling Area,Y
10Y1001C--000263,IF2-AREA,Interconnector area IFA2,,,Active,,,,Scheduling Area,Y
10Y1001C--000271,NLL-AREA,Interconnector area Nemo Link,,,Active,,,,Scheduling Area,Y
10Y1001C--00029Y,DE-CZ-AREA,Border Area Germany - Czech Republic,,,Active,,,,Border Area,Y
10Y1001C--00030C,CE,Central Europe,,,Active,,,,Scheduling Area,Y
10Y1001C--00031A,WE,Western Europe,,,Active,,,,Scheduling Area,Y
10Y1001C--000328,EAST-EUROPE,Eastern Europe,,,Active,,,,Scheduling Area,Y
10Y1001C--000336,CGMA_AREA,Common Grid Model Alignment Area,,10X1001A1001A450,Active,,,,Market Balance Area,Y
10Y1001C--000344,ELECLINK_IC,ElecLink Interconnector,,,Active,,,,Scheduling Area,Y
10Y1001C--000352,DE-LU-SE4,Germany-Luxembourg-Sweden 4 Border,,,Active,,SE,,Border Area,Y
10Y1001C--000360,DE-NO-AREA,Border Area Germany - Norway,,,Active,,,,"Metering Grid Area, Border Area",Y
10Y1001C--00037Z,EUROPE_EEA_CH,"European Single Market Area, EEA plus Switzerland",,,Active,,,,Market Area,Y
10Y1001C--00038X,CZ-DE-SK-LT-SE4,Polish optimization area PLC,,,Active,,,,Border Area,Y
10Y1001C--00039V,IT-SDC-CN-BORDER,Border Area IT-SACODC-CNorth,,,Active,,,,Border Area,Y
10Y1001C--000409,IT-CS-CN-BORDER,Border Area IT-CSouth-CNorth,,,Active,,,,Border Area,Y
10Y1001C--000417,IT-N-CN-BORDER,Border Area IT-North-CNorth,,,Active,,,,Border Area,Y
10Y1001C--000425,IT-SA-SDC-BORDER,Border Area IT-Sardinia-SACODC,,,Active,,,,Border Area,Y
10Y1001C--000433,IT-SA-CS-BORDER,Border Area IT-Sardinia-CSouth,,,Active,,,,Border Area,Y
10Y1001C--000441,IT-S-CS-BORDER,Border Area IT-South-CSouth,,,Active,,,,Border Area,Y
10Y1001C--00055X,IT-S-RSN-BORDER,Border Area IT-South-Rossano,,,Active,,,,Border Area,Y
10Y1001C--00056V,IT-SIC-RSN-BORDE,Border Area IT-Sicily-Rossano,,,Active,,,,Border Area,Y
10Y1001C--00057T,ME-IT-AREA,Border area Montenegro Italy,,10XCS-CG-TSO---5,Active,,,,Border Area,Y
10YAD-AND------X,ANDORRA,Andorra Market area,,,Active,,,,Market Balance Area,Y
10YAL-COMP-----O,COMP-KESH-AREA,Comp. Control area Albania,,,Active,,AL,,Valid EIC Function needed,Y
10YAL-KESH-----5,AL,Albania,,,Active,,AL,,"Bidding Zone, Market Balance Area, Control Area, Member State",Y
10YAPG--COMP---0,FICT_COMP_AT,fictitious comp. control area Austria,,,Active,,,,Valid EIC Function needed,Y
10YAT-APG------L,AT,Austria,,,Active,1220,AT,,"Market Balance Area, Control Area, Control Block",Y
10YAT-TIRAG-N--C,TIWAG-NETZ_AREA,TIWAG-Netz AG,,,Active,,,,Market Balance Area,Y
10YAT-VKW-UNG--K,VUEN_AREA,VUEN Area,,,Active,,,,Market Balance Area,Y
10YBA-JPCC-----D,BA,Bosnia and Herzegovina,,,Active,71000,BA,,"Member State, Bidding Zone, Market Balance Area, Control Area",Y
10YBE----------2,BE,Belgium,,,Active,,,,"Market Balance Area, Control Block, Member State, Bidding Zone, Control Area",Y
10YBE--COMP----Y,FICT_COMP_BE,fictitious comp. control area Belgium,,,Active,,,,Valid EIC Function needed,Y
10YCA-BULGARIA-R,BG,Bulgaria,,,Active,1407,BG,,"Bidding Zone, Member State, Market Balance Area, Control Block, Control Area",Y
10YCB-ALBANIA--1,CB-AL,CB Albania,,,Active,,AL,,Control Block,Y
10YCB-BE-------T,CB-ELIA,Control Block  Belgium,,,Active,,,,Control Block,Y
10YCB-BULGARIA-F,CB_BULGARIA,Elektroenergien Sistemen Operator EAD,,,Active,1407,BG,,Control Block,Y
10YCB-CZECH-REP5,CB-CZECH-REP-ARE,"CEPS, a. s.",,,Active,10152,CZ,,Control Block,Y
10YCB-FIC-NORTH8,FICT_CB,Fictitious Control Block for fictive control areas,10YCC-UCTE-NO--K,10XDE-RWENET---W,Active,50259,DE,,Valid EIC Function needed,Y
10YCB-FR-ES-PT-S,CB_FR-ES-PT,Control Block France-Spain-Portugal,,,Active,,,,Control Block,Y
10YCB-GERMANY--8,DE_DK1_LU,CB Germany_Denmark_Luxemburg,10YCC-UCTE-NO--K,10XDE-RWENET---W,Active,50259,DE,,Control Block,Y
10YCB-GREECE---2,CB-GR,CB Greece,,,Active,,GR,,Control Block,Y
10YCB-HUNGARY--J,CB-HU,Control Block Hungary,,,Active,,HU,,Control Block,Y
10YCB-ITALY----1,ITALY_AREA_CB,Control Block  Italy,,,Active,,,,Control Block,Y
10YCB-JIEL-----9,CB-RS_MK_ME,CB Serbia_FYROM_Montenegro,,,Active,,,,Control Block,Y
10YCB-NL-------V,CB_NL_TENNET,Control Block Netherlands,,,Active,,,,Control Block,Y
10YCB-POLAND---Z,CB-PL,CB Poland,,,Active,,PL,,Control Block,Y
10YCB-ROMANIA--C,CB_ROMANIA,Control Block Romanian Power Grid,,,Active,RO-010325,RO,,Control Block,Y
10YCB-SI-HR-BA-3,CB-SI_HR_BA,CB Slovenia_Croatia_Bosnia and Hercegovina,,,Active,,,,Control Block,Y
10YCB-SLOVAKIA-H,CB-SLOVAKIA-AREA,"Slovenska elektrizacna prenosova sustava, a.s.",,,Active,824 84,SL,,Control Block,Y
10YCB-SWITZERL-D,CB_CH,Control Block  Switzerland,,,Active,,,,Control Block,Y
10YCB-TURKEY---V,CB_TURKEY,Control Block Turkey,,,Active,,TR,,Control Block,Y
10YCC-UCTE-NO--K,CC_RG_CE_NORTH,Coordination Center RG CE North (Amprion),10YEU-CONT-SYNC0,10XDE-RWENET---W,Active,50259,DE,,Coordination Center Zone,Y
10YCC-UCTE-SO--W,UCTE_SOUTH,Control Centre UCTE South (ETRANS),,,Active,,,,Coordination Center Zone,Y
10YCH-SWISSGRIDZ,CH,Switzerland,,,Active,5070,CH,,"Member State, Control Area, Control Block, Bidding Zone, Market Balance Area",Y
10YCS-CG-TSO---S,ME,Montenegro,,10XCS-CG-TSO---5,Active,,ME,,"Bidding Zone, Control Area, Market Balance Area, Member State",Y
10YCS-SERBIATSOV,RS,Serbia,,,Active,11000,RS,,"Market Balance Area, Control Area, Member State, Bidding Zone",Y
10YCY-1001A0003J,CY,Cyprus,,,Active,,CY,,"Market Balance Area, Bidding Zone, Member State",Y
10YCZ-CEPS-----N,CZ,Czech Republic,,,Active,,,,"Control Block, Control Area, Bidding Zone, Member State, Market Balance Area",Y
10YCZ--COMP----S,CEPS_COMP_AREA,CEPS,,,Active,-,CZ,,Valid EIC Function needed,Y
10YDE--COMP----8,FICT_COMP_DE,fictitious Comp. Control area Germany,10YCB-GERMANY--8,10XDE-RWENET---W,Active,50259,DE,,Valid EIC Function needed,Y
10YDE-ENBW-----N,DE-TRANSNETBW,Germany TransnetBW,,,Active,70173,DE,,Control Area,Y
10YDE-EON------1,DE-TENNET_DE,Germany TenneT DE,,,Active,,,,Control Area,Y
10YDE-RWENET---I,DE-AMPRION-SCHED,Amprion GmbH,10YCB-GERMANY--8,10XDE-RWENET---W,Active,50259,DE,,"Control Area, Scheduling Area",Y
10YDE-VE-------2,DE-50HERTZ,Germany 50Hertz,,,Active,,DE,,Control Area,Y
10YDK-1-------AA,OPT_AREA_DENMARK,Optimization area Denmark1,,,Active,,,,Market Balance Area,Y
10YDK-1--------W,DK1,Denmark DK1,,10X1001A1001A248,Active,,,,"Market Balance Area, Control Area, Bidding Zone",Y
10YDK-2--------M,DK2,Denmark DK2,,10X1001A1001A248,Active,,,,"Bidding Zone, Market Balance Area, Control Area",Y
10YDOM-1001A001A,BALIT,FR and GB Cross Border Coordinated Market Balance Area,,,Active,,,,Border Area,Y
10YDOM-1001A0028,GB-NL_MARKET,Market domain Great Britain – the Netherlands,,,Active,,,,Border Area,Y
10YDOM-1001A0036,IT-SI-AREA,Border area Italy Slovenia,,,Active,,,,Border Area,Y
10YDOM-1001A0044,HR-SI-AREA,Border area Croatia Slovenia,,,Active,,,,Border Area,Y
10YDOM-1001A0060,CH-IT-AREA,Border area Switzerland Italy,,,Active,,,,Border Area,Y
10YDOM-1001A027T,HU-RO-AREA,Border area Hungary Romania,,,Active,,,,Border Area,Y
10YDOM-1001A028R,HU-SK-AREA,Border area Hungary Slovakia,,,Active,,,,Border Area,Y
10YDOM-1001A029P,HU-UA-AREA,Border area Hungary Ukraine,,,Active,,,,Border Area,Y
10YDOM-1001A0303,BA-RS-AREA,Border area BiH Serbia,,,Active,,,,Border Area,Y
10YDOM-1001A0311,MK-RS-AREA,Border area Macedonia Serbia,,,Active,,,,Border Area,Y
10YDOM-1001A033Y,BG-RS-AREA,Border area Bulgaria Serbia,,,Active,,,,Border Area,Y
10YDOM-1001A034W,ME-RS-AREA,Border area Montenegro Serbia,,,Active,,,,Border Area,Y
10YDOM-1001A035U,RO-RS-AREA,Border area Romania Serbia,,,Active,,,,Border Area,Y
10YDOM-1001A036S,ES-AD-AREA,Border Area Spain Andorra,,,Active,,,,Border Area,Y
10YDOM-1001A037Q,FR-GB-SEL-AREA,Border area between France and the UK at Sellindge delivery point,,,Active,,,,Border Area,Y
10YDOM-1001A038O,FR-GB-MAN-AREA,Border area between France and the UK at Mandarins delivery point,,,Active,,,,Border Area,Y
10YDOM-1001A039M,NO-NL-EEMSHAVEN,Border domain Norway-Netherlands at Eemshaven,,,Active,,,,Border Area,Y
10YDOM-1001A0400,NO-NL-FEDA,Border domain Norway-Netherlands at Feda,,,Active,,,,Border Area,Y
10YDOM-1001A041Z,NO-NL-AREA,Border Area Norway-Netherlands,,,Active,,,,Border Area,Y
10YDOM-1001A042X,AL-GR-AREA,BORDER AREA ALBANIA GREECE,,,Active,,,,Border Area,Y
10YDOM-1001A043V,BG-GR-AREA,BORDER AREA GREECE BULGARIA,,,Active,,,,Border Area,Y
10YDOM-1001A044T,ENDK-DK1-DK2,Energinet.dk Storebælt,,10X1001A1001A248,Active,,,,Border Area,Y
10YDOM-1001A045R,ME-BA-AREA,Border area Montenegro BiH,,,Active,,,,Border Area,Y
10YDOM-1001A046P,HR-BA-AREA,Border area Croatia BiH,,,Active,,,,Border Area,Y
10YDOM-1001A047N,CWE-RGCE-BORDER,Border between CWE Zone and the rest of Continental Europe,,,Active,,,,Border Area,Y
10YDOM-1001A048L,FR-RGCE-BORDER,Border between France and the rest of Continental Europe,,,Active,,,,Border Area,Y
10YDOM-1001A049J,ENDK-DK-NO,Energinet.dk/Statnett Skagerrak,,,Active,,,,Border Area,Y
10YDOM-1001A050Y,ENDK-SK1-SK2,Energinet.dk/Statnett SK1 &  SK2,,,Active,,,,Border Area,Y
10YDOM-1001A051W,ENDK-SK3-SK4,Energinet.dk/Statnett SK3 &  SK4,,,Active,,,,Border Area,Y
10YDOM-1001A052U,DE-RGCE-BORDER,Border between Germany and the rest of Continental Europe,,,Active,,,,Border Area,Y
10YDOM-1001A053S,GR-MK-AREA,BORDER AREA FYROM GREECE,,,Active,,,,Border Area,Y
10YDOM-1001A054Q,ME-AL-AREA,Border area Montenegro - Albania,,,Active,,,,Border Area,Y
10YDOM-1001A055O,LV-LT-AREA,Border Area Latvia Lithuania,,,Active,,,,Border Area,Y
10YDOM-1001A056M,LV-RU-AREA,Border Area Latvia Russia,,,Active,,,,Border Area,Y
10YDOM-1001A057K,EE-FI-AREA,Border area Estonia Finland,,,Active,,,,Border Area,Y
10YDOM-1001A058I,EE-LV-AREA,Border area Estonia Latvia,,,Active,,,,Border Area,Y
10YDOM-1001A059G,EE-RU-AREA,Border area Estonia Russia,,,Active,,,,Border Area,Y
10YDOM-1001A060V,LT-SE-AREA,Border Area Lithuania Sweden,,,Active,,,,Border Area,Y
10YDOM-1001A061T,NORTH-ITALY-BORD,"Border between Italy and France, Austria, Slovenia, Switzerland",,,Active,,,,Border Area,Y
10YDOM-1001A063P,FI-SE1-AREA,Border area FI-SE1,,,Active,,,,Border Area,Y
10YDOM-1001A064N,FI-SE3-AREA,Border area FI-SE3,,,Active,,,,Border Area,Y
10YDOM-1001A065L,NO1-SE3-AREA,Border area NO1-SE3,,,Active,,,,Border Area,Y
10YDOM-1001A066J,NO3-SE2-AREA,Border area NO3-SE2,,,Active,,,,Border Area,Y
10YDOM-1001A067H,NO4-SE1-AREA,Border area NO4-SE1,,,Active,,,,Border Area,Y
10YDOM-1001A068F,NO4-SE2-AREA,Border area NO4-SE2,,,Active,,,,Border Area,Y
10YDOM-1001A069D,PL-SE4-AREA,Border area PL-SE4,,,Active,,,,Border Area,Y
