f_all,Vs_3w,Vs_1w,Vs_1w_o,Vsh_1w
122,-0.001436,0.9789,-0.0002,0.003246
148,-0.001425,0.9789,-0.0002,0.003246
181,-0.001411,0.9789,-0.0002,0.003246
221,-0.001398,0.9789,-0.0004,0.003246
270,-0.001383,0.9789,-0.0004,0.003246
330,-0.001368,0.9789,-0.0005,0.003246
404,-0.001354,0.9789,-0.0005,0.003246
493,-0.001335,0.9789,-0.006,0.003246
602,-0.001322,0.9789,-0.0007,0.003246
735,-0.001305,0.9788,-0.0008,0.003246
898,-0.001286,0.9788,-0.0009,0.003246
1097,-0.001261,0.9788,-0.001,0.003246
1339,-0.001245,0.9788,-0.0012,0.003246
1636,-0.001228,0.9788,-0.0015,0.003246
1998,-0.001211,0.9788,-0.0017,0.003246
2441,-0.001192,0.9788,-0.0021,0.003246
2981,-0.001175,0.9788,-0.0028,0.003246
3641,-0.001154,0.9788,-0.0032,0.003248
4447,-0.001135,0.9788,-0.0038,0.003248
5432,-0.001113,0.9788,-0.0046,0.00325
6634,-0.001091,0.9787,-0.0056,0.00325
8103,-0.00107,0.9786,-0.0068,0.003251
9897,-0.001047,0.9788,-0.0081,0.003253
12088,-0.001026,0.9788,-0.0098,0.003254